Entry	Organism	AA_len	num_combinations
Q9ZZX9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	128	1745313403489099990986144683617303489113271873454481604608
Q9ZZX8	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	53	24814745171855578232782848
Q9ZZX7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	96	384115903732881827841335464179007488
Q9ZZX1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	630	14622123716581568898551850732604930916096744873165751448864687607847092469186043555404041568403071981124218512120745802703365970488164468400689904614264747927698523277621534015001061955323264342302600679808481926466395783268479832907959185383177820255792583358508675366207045128867140346708127383552
Q9ZZX0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	354	7650835302043070716178060282004022136303881175045138405211698953977353322278861153059657705437645850416173689428516932505505800052457071083140700081122967552
Q9ZZW7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	517	59528814523697080127657636497707711789928449063054751877133899624861012034977209310238957810966118248583478967757967573748981068611043718118472179382611963445694901201043052884814115928020768904851905372399486719872155776974848
Q9ZZW4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	58	28720769874832845176832
Q9ZZW3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	50	12116574790945106558976
Q9ZZW2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	109	248907105618907424441185380787996852224
Q9ZZW1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	134	30266404599109864532334369015971799232027475459658743808
Q9ZZV8	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	51	272315447702118828343296
Q9URQ5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	78	9218781689589163868192051140296179712
Q9URQ3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	322	491951858413263291935317662165896485101844211358355092927706980065416237286449405417930665215898009929023513980743115516043325620656961875201948307685376
Q9P305	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	131	12295418958377378310353833223178675309701401415795595331996045396672512
Q99395	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	206	31597886350316953037294108399811200351768345393642001904581283395505695141701089893304976399105261568
Q99394	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	268	1286109359688323069304560775252247709210805720075306160753804396484948377080727499676759940461456436847138948247878922913632485376
Q99393	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	312	41555307322661567867501124334193260501068304304837479422981504629921097844401670847687799239635794050644268241475439397964728834019908344891738670759936
Q99385	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	411	84404814383681410095332320204906965060782447631347179338603940722342318572603112683992574366569639317203021804278571253922045718673137120268507919102496789988423896088019698313412601574748547824415648929789962616832
