Entry	Organism	AA_len	num_combinations
X5M8U1	Caenorhabditis elegans	1088	14486166887444319617828584563614534136175245092755024730257473029468297166222588964910004300261838270905798601781077659862387383432490290535873224281448743428491210385018550487138452762920115626097957088982440105040366117160947449476099454649685370193231087144971631054481884220359384879235151891555245786251255839839957388243518749245965571021890172254650400500314908008019306809047055787613659851559669223534715815658521236687365401037342210825286827377088739476158094030648260621063073786117604522696425733972028969238658535501238326263808
X5M5N0	Caenorhabditis elegans	1850	16933419546253365820255131132440188442540623686797913833439252618437571041261819783505430965627165208088863238594918063705978479125650413921186789702926383788487472143720434027655114682974892350888045039007186668513481759579318393648625294837403169695778493218641314641012474991526316074961841088758251110075810940777666881096541734957098470682296345952582875913792605862455667490730823393256228922418349597575599260235936683210239040660651096840437277747579580074196246954880448023190862285111106157628457293726438860619971713485202427498732823000432793662126974235110390910734806988932895523220566150570391786965798336057332610005720663597820119281646879087333047405012443187511460960645464086845167689166810430718812383409401352632433705183986358697289721191832568178099485325646035067306981789169142647556906881616085218963565727423435135926439368312584664752780761783805305667856443298150024188075042420606067405551470954618576873297968721506086610612802140128673792
W6RTA4	Caenorhabditis elegans	8922	92954476202279654618998269550745020479833807825559773828771111515937942493535675738491867740174742194320346434231119320605449270206702630837527660517712630025011246398935239536209823561472259852386787213586502924466520721656944812676419139864253862859579028010192015699281804147661771618537566151094079060555568154394630689941805398477061591712493430742421923444499469577467257474486022173535071752489779588254968098824560149148928565305025550809788890305646061505513085876340903140202078246346195423706731609704403756799089924831188995766932322808904938772547633087429429850316898829874775635129750491359471465927642839379516666738866450092897045677506319208779904613072085443061084400843150077880294223317000156986580514426125534344839583961222547508774735454566596184820167249501300993101675944146828333154994346874849472388433310251396632081077679743220049909140403227804527326924617027482238210240403622646797257687500174086666876957906421138400637716923543089547086184211202487286769372711650113525086474804627842335645969469678024820215366293918421357436044977392855495404249193361038828798320500082047814371076738811026295731333124236269071015664053781224772639395511713981188240113229951419169773418583839190172150072644526086556737837705655581694981362545766267500518400269050552881775194936081179248002653132222164558541682074241484654111417329656822261198875590780145720792930645328107593571258297230409572675205748783904607916381902400184002321800883694181926564942039091843206705572497308407277295951821123140562397646759046728183989289309374776238780136193575436961670524916813263039824512726001794417437349744322267635506630408071614606557477984382031534813488672086393918832155182242015542368070811027160906042102047936598041596428835812238802259012648461955868926285046408402117425968800964603519632818129424882530791630325754556924382655174487635450174825986355794086086078505496835008870220422421872574235881526980969226460738286178350800433549349746169899756742629270079361652948911689228201118366921984386834444041006228887135875958171442503765206561619893531006377973548502890962457163013222712833239931127534352788883388429141791272652157754556292629450929296158084299793643960675895377941641519530919626816256271728419082593598780159033385279978656294410078318025603545787175724261092814157254508957152895378297544994492126100550084533152752141091163309636991083743787750820571191280230551234125677903004797853526918399425985370649173169873659343549880303279105107790007408739670424884243935385356353343863168175989331574446189551912677417165709650294762342112743069596273303658100243244333948264003219719066513991080150759956476684866020090877385970273885878448788299859686877089108645662606321470622546679284536319548051832487663106035857716156781885093599808570285165142151642317661281839411005469534404728133148560446551867544684213200115254327455920982582909843728055042744723196187410535276080391098851579760450697611031468142626386117432289762082190493238063314784025317361356512646836752447979359238703057809738566199284883012606066816404450910879883300859979914279297324120965346834358379299814496483087605568466457403443070010047307475884343661826961255899192289351805602459462782441329290951706418552539212814473299038252444364756306720811860944553816984298345559655048711216445520977263960048182453106655278110108614775129657400541439198772690531502469291133399039038257193526006253275502458905217758717607391977572482573152083139518678551707692775617674415801853349365272002450944594746036864185310155010408600746194053228850529538697088330214441271069105590855000792609038442122671706387991882359147157564566582660917113448061813589774410515366097279959330105222991157494162325106217032914666471561994350167339987543917966548005468642318019219017575892363590626160316577505975348852520795714874169428567417785035006745800449025960723324675213779675983477115351493021112225663155334357582853030637967568362156709784180207682379466770914089383771260728311685740133438542180800635902887318872597531975849999937037684889094641317139503787448219077580111484070134382904530911814692074616526300451048984977624679010837978823716566569966365992147875400128543993549301947918688885202279140270798142147276521858284843315798367783348593002738448013734102706037144136926293088558300421984800250571576855189373488626472482430268795659922398665365622263545662607946452403967797753164772819936583674961609691780477354709267759161285096972057855825369104384
V6CLA2	Caenorhabditis elegans	2648	13526115449383301459750335487301259222271838412421177530233788912245807615562292619211801319447789981381188380017476792695683221424725439650287762167984080380135676794996514425719650779685445920848426930466832837716388523941684122119842532774858719815844549175918149142869254109562073102595275122103795151148736017903110708034294061727499805560277592280591071231298768683372677407882677324250360026946304421834437615173323569691013042946381093505880586848601223976656428109484783811517702471673520312645132037466263042872705730869238394819424079182617536858568438466802732305885460313948966552891553005510792885078877581435644666746387546952536990088852641234528245042597058231420943814632348283256849990815385640557164657179261298633175513751725019911523795224817002115059916150817533534839938151157530756398062903467171263650588804401926304226468966623352993781527959716548857051487515505786329882094575449513546211675559474417052460178839949501071591834536689893698005314521212998031487926745235974986590853880387677771785678375644649585221412442747393913647783873481936685669982714927248281980630892220681154660988242230363131594299359994122199283463730087676458742575404644029646035243737046715570238464090145590238181284378351089734118579278645714644527611936545169254763362445371386234102607835677889787652789419922969602808201726352727219397197824
V6CJ04	Caenorhabditis elegans	737	1261264323338012657974392779190666267480017602703686138711079525107600164139019410099697635860034805189527715503726691356092365033994877833190242106752869213575494952532473439104774833885264727529089844986380936874202066890732387668010611630640415936717512283584294387358256271529426747185722956493580855342193996598278221316254897418836719481799307620349464727647158272
V6CIV8	Caenorhabditis elegans	381	9510997007006805504129644458842776451899992747473216479918811498832218706445273982736329956535096217608322954673408513424064905767842145124294032768158538980423382068937271727856617102333364404224
U4PR86	Caenorhabditis elegans	706	438651811214998398665980429865726557556248941014586895247840668284833396358428558890071139748944464624398895616483977689470042327013543800704720611240101516772097256774508273830261962748823436198994882741852107303824587011342540297196805564551246951222517694669051737505494989763798236981128627169895756985188899247670889054892105078993663501008896
U4PAZ9	Caenorhabditis elegans	1112	706653923551525688787256859421972010475642540417888608596743481029417273059753822423285081078818573452748063538473146910264575506065495949945487580659158415642388390769428079268003769612562505438449403421223240533511580731299983906568537314106797537606172548968060921144133090236845300891017368996152460050000807287386296862648073624740462471468093326332405430164407769606821492191562328164488470225651690771438655431322461292200918695925355572897858424018984995603891871598691360342465170923636887918547901920851815352864465217002668032
Q9Y1J3	Caenorhabditis elegans	636	890158727419944107698601959976386823332071413987013583599113869605680406797801875948797440631451875711074082798560993079058430573963504424042405861274307954053715604622098967246090567140534239324928082110645663193390473072872761395547484143086629365123663376459510571350232324775876195624256297512861692711665664
Q9Y194	Caenorhabditis elegans	552	310790537461244414229642008556707142914250303964718406373236634795044572581174458497207244676917685592964790192389666967899657761990718657396463430071010347986296379193089625193091266331804335524503606492648674070747049919729347897905457047592171154114708022235200749568
